Setor,Modelo,Tipo,Serie,Patrimonio,Filial,Status
CAIXA,BEMATECH RC 8300,PC,"1,02081008E+017",,4,PRODUCAO
COMERCIAL,DELL OPTIPLEX 390,PC,5KCD2V1,10776,4,PRODUÇÃO
CAIXA,DELL OPTIPLEX 390,PC,GMQ92V1,10783,4,PROCUCAO
CAIXA,DELL OPTIPLEX 390,PC,78L72V1,10782,4,PRODUCAO
CAIXA,DELL OPTIPLEX 790,PC,1VYXRR1,10276,4,PRODUCAO
CAIXA,DELL OPTIPLEX 390,PC,58L72V1,10773,4,PRODUCAO
CAIXA,DELL OPTIPLEX 780,PC,939LWQ1,,,
10307,OP. DE CAIXA,4,,,,
CAIXA,DELL OPTIPLEX 790,PC,2WYXRR1,10277,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10555,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10506,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10498,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10505,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10531,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10499,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10518,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10550,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10504,4,PRODUCAO
CAIXA,DELL OPTIPLEX 780,PC,8N0LWQ1,10305,4,PRODUÇÃO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10501,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10513,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10533,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10496,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10503,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10525,4,PRODUCAO
CPD,DELL OPTIPLEX 3010,PC,8MPR0Y1,11013,4,PRODUÇÃO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10500,4,PRODUCAO
CAIXA,DELL OPTIPLEX 780,PC,J39LWQ1,10309,4,PRODUÇÃO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10544,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10519,4,PRODUCAO
CAIXA,DELL OPTIPLEX 390,PC,GZT52VI,,,
10775,OP. DE CAIXA,4,,,,
CAIXA,DELL OPTIPLEX 755,PC,58PCTJ1,,,
10435,OP. DE CAIXA,4,,,,
TREINAMENTO,DELL OPTIPLEX 3010,PC,9LP90Y1,10936,4,PRODUCAO
CAIXA,DELL OPTIPLEX 380,PC,4NC7GM1,,,
10434,OP. DE CAIXA,4,,,,
CAIXA,DELL OPTIPLEX 780,PC,709LWQ1,,,
10368,OP. DE CAIXA,4,,,,
CAIXA,DELL OPTIPLEX 780,PC,9N0LWQ1,,,
10295,OP. DE CAIXA,4,,,,
CAIXA,DELL OPTIPLEX 780,PC,D09LWQ1,,,
10289,OP. DE CAIXA,4,,,,
CAIXA,DELL OPTIPLEX 780,PC,HN0LWQ1,,,
10292,OP. DE CAIXA ,4,,,,
CAIXA,DELL OPTIPLEX 780,PC,5X8LWQ1,10308,4,PRODUÇÃO
ALMOXARIFADO,DELL OPTIPLEX 780,PC,5VHNYK1,10432,4,PRODUCAO
CFTV,DELL OPTIPLEX 790,PC,11300,10261,4,PRODUÇÃO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10549,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10524,4,PRODUCAO
CAIXA,BEMATECH RC 8300,PC,"1,02081003000001E+017",10502,4,PRODUCAO
CPD,DELL OPTIPLEX 3010,PC,4MPT0Y1,10933,4,PRODUÇÃO
CPD,DELL OPTIPLEX 360,PC,8QCNMK1,10539,4,PRODUÇÃO
SEGURANCA,DELL OPTIPLEX 790,PC,3VYXRR1,10261,4,PRODUCAO
PRECIFICACAO,DELL OPTIPLEX 755,PC,22GN9G1,10433,4,PRODUCAO
CREDITO,DELL OPTIPLEX 780,PC,COMP851,10329,4,PRODUÇÃO
SOE,DELL OPTIPLEX 3010,PC,65JL6W1,108773,4,PRODUÇÃO
FRENTE DE CAIXA,DELL OPTIPLEX 390,PC,5ZT52V1,10774,4,PRODUÇÃO
RM,DELL OPTIPLEX 755,PC,HC73LBI,,4,PRODUÇÃO
FRENTE DE CAIXA,DELL OPTIPLEX 790,PC,9RYXRR1,10279,4,PRODUÇÃO
CALLCENTER,DELL OPTIPLEX 380,PC,G2Q2JM1,10491,4,PRODUCAO
CALLCENTER,HP COMPAQ 300B MT,PC,BRG73501NC,10414,4,PRODUCAO
CONTABILIDADE,DELL OPTIPLEX 760,PC,7VHNYK1,10438,4,PRODUÇÃO
RECEPCAO,DELL OPTIPLEX 790,PC,6VYXRR1,10266,4,PRODUÇAO
BACKUP,BEMATECH RC 8300,PC,BE102081003000000969,10511,4,BKP
CONTABILIDADE,DELL OPTIPLEX 3010,PC,3MPB0Y1,10912,4,PRODUÇÃO 
PRECIFICACAO,HP COMPAQ 300B MT,PC,BRG050G8SY,10919,4,PRODUCAO
CONTABILIDADE,DELL OPTIPLEX 3010,PC,JLP90Y1,10911,4,PRODUÇÃO
RH,DELL OPTIPLEX 3010,PC,6WYXRR1,10330,4,PRODUCAO
RM,HP COMPAQ 300B MT,PC,BRG045G5RS,10327,4,PRODUÇÃO
RM,DELL OPTIPLEX 3010,PC,4QR20Y1,,4,PRODUÇÃO
RM,DELL OPTIPLEX 3010,PC,FLPB0Y1,10934,4,PRODUÇÃO
CALLCENTER,DELL OPTIPLEX 790,PC,DTYXRR1,10859,4,PRODUCAO
CALLCENTER,DELL OPTIPLEX 390,PC,S/N,20793,4,PRODUCAO
CALLCENTER,DELL OPTIPLEX 390,PC,S/N,10780,4,PRODUCAO
SOE,DELL OPTIPLEX 3010,PC,2TFM6W1,10872,4,PRODUÇÃO
SOE,HP COMPAQ 300B MT,PC,BRG050G869,10325,4,PRODUÇAO
RECEPCAO,DELL OPTIPLEX 790,PC,HTYXRR1,10754,4,PRODUCAO
MANUTENCAO,DELL OPTIPLEX 755,PC,28PCTJ1,10436,4,PRODUCAO
RECEPCAO,MAQUINA GENERICA 1,PC,S/N,S/N,4,PRODUÇAO
CALLCENTER,DELL OPTIPLEX 3010,PC,4NPR0Y1,10765,4,PRODUCAO
FRENTE DE CAIXA,DELL OPTIPLEX 790,PC,8WYXRR1,10270,4,PRUDUÇÃO
TESOURARIA,HP COMPAQ 300B MT,PC,BRG045GVC,10313,4,PRODUÇÃO
TESOURARIA,HP COMPAQ 300B MT,PC,BRGOS0G868,10315,4,PRODUÇÃO
TESOURARIA,HP COMPAQ 300B MT,PC,BRG050G864,10311,4,PRODUÇÃO
CALLCENTER,DELL OPTIPLEX 3010,PC,D6LL6W1,10874,4,PRODUCAO
RM,DELL OPTIPLEX 3010,PC,7NPT0Y1,10768,4,PRODUÇÃO
CALLCENTER,DELL OPTIPLEX 3010,PC,CNPR0Y1,10764,4,PRODUCAO
CALLCENTER,DELL OPTIPLEX 390,PC,S\N,S\N,4,PRODUCAO
PRECIFICACAO,PC GENERICO,PC,SEM SÉRIE,SEM PATRIMONIO,4,PRODUCAO
CONTABILIDADE,DELL OPTIPLEX 3010,PC,HLPROY1,10907,4,PRODUCAO
CALLCENTER,DELL OPTIPLEX 390,PC,S\N,10792,4,PRODUCAO
TREINAMENTO,EPSON S31+,PROJETOR,WDSM8103267,,4,PRODUCAO
CPD,DELL OPTIPLEX 3020,SERVIDOR,3X3X862,10715,4,PRODUÇÃO
CPD,DELL POWER EDGE R430,SERVIDOR,SWST862,20036,4,PRODUÇAO
CPD,DELL OPTIPLEX 3020,SERVIDOR,JQYBG22,10605,4,PRODUÇÃO
CPD,VMWARE VIRTUALMACHINE 1,SERVIDOR,BRC036N0A9,10228,4,PRODUCAO
CPD,DELL OPTIPLEX 3010,SERVIDOR,6LPR0Y1,10909,4,PRODUÇAO
CPD,DELL OPTIPLEX 3010,SERVIDOR,GMPR0Y1,10908,4,PRODUÇAO
CPD,DELL POWER EDGE R430,SERVIDOR,SWSR862,20035,4,PRUDUÇÃO
